SECURITY_ID,INSTRUMENT,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE
35501,OPTIDX,NIFTY,NIFTY-Aug2026-18500-PE,NIFTY 25 AUG 18500 PUT,65.0,2026-08-25,18500.0,PE
35504,OPTIDX,NIFTY,NIFTY-Aug2026-18550-CE,NIFTY 25 AUG 18550 CALL,65.0,2026-08-25,18550.0,CE
35505,OPTIDX,NIFTY,NIFTY-Aug2026-18550-PE,NIFTY 25 AUG 18550 PUT,65.0,2026-08-25,18550.0,PE
35514,OPTIDX,NIFTY,NIFTY-Aug2026-29450-CE,NIFTY 04 AUG 29450 CALL,65.0,2026-08-04,29450.0,CE
35515,OPTIDX,NIFTY,NIFTY-Aug2026-29450-PE,NIFTY 04 AUG 29450 PUT,65.0,2026-08-04,29450.0,PE
35518,OPTIDX,NIFTY,NIFTY-Aug2026-29450-CE,NIFTY 25 AUG 29450 CALL,65.0,2026-08-25,29450.0,CE
35519,OPTIDX,NIFTY,NIFTY-Aug2026-29450-PE,NIFTY 25 AUG 29450 PUT,65.0,2026-08-25,29450.0,PE
35522,OPTIDX,NIFTY,NIFTY-Sep2026-29300-CE,NIFTY 29 SEP 29300 CALL,65.0,2026-09-29,29300.0,CE
35523,OPTIDX,NIFTY,NIFTY-Sep2026-29300-PE,NIFTY 29 SEP 29300 PUT,65.0,2026-09-29,29300.0,PE
35534,OPTIDX,NIFTY,NIFTY-Sep2026-29350-CE,NIFTY 29 SEP 29350 CALL,65.0,2026-09-29,29350.0,CE
35535,OPTIDX,NIFTY,NIFTY-Sep2026-29350-PE,NIFTY 29 SEP 29350 PUT,65.0,2026-09-29,29350.0,PE
35536,OPTIDX,NIFTY,NIFTY-Aug2026-18600-CE,NIFTY 25 AUG 18600 CALL,65.0,2026-08-25,18600.0,CE
35537,OPTIDX,NIFTY,NIFTY-Aug2026-18600-PE,NIFTY 25 AUG 18600 PUT,65.0,2026-08-25,18600.0,PE
35540,OPTIDX,NIFTY,NIFTY-Sep2026-29400-CE,NIFTY 29 SEP 29400 CALL,65.0,2026-09-29,29400.0,CE
35541,OPTIDX,NIFTY,NIFTY-Sep2026-29400-PE,NIFTY 29 SEP 29400 PUT,65.0,2026-09-29,29400.0,PE
35542,OPTIDX,NIFTY,NIFTY-Sep2026-29450-CE,NIFTY 29 SEP 29450 CALL,65.0,2026-09-29,29450.0,CE
35543,OPTIDX,NIFTY,NIFTY-Sep2026-29450-PE,NIFTY 29 SEP 29450 PUT,65.0,2026-09-29,29450.0,PE
37806,OPTIDX,NIFTY,NIFTY-Dec2026-23000-CE,NIFTY 29 DEC 23000 CALL,65.0,2026-12-29,23000.0,CE
37810,OPTIDX,NIFTY,NIFTY-Dec2026-23000-PE,NIFTY 29 DEC 23000 PUT,65.0,2026-12-29,23000.0,PE
38059,OPTIDX,NIFTY,NIFTY-Aug2026-29500-CE,NIFTY 04 AUG 29500 CALL,65.0,2026-08-04,29500.0,CE
38060,OPTIDX,NIFTY,NIFTY-Aug2026-29500-PE,NIFTY 04 AUG 29500 PUT,65.0,2026-08-04,29500.0,PE
38061,OPTIDX,NIFTY,NIFTY-Aug2026-29500-CE,NIFTY 25 AUG 29500 CALL,65.0,2026-08-25,29500.0,CE
38062,OPTIDX,NIFTY,NIFTY-Aug2026-29500-PE,NIFTY 25 AUG 29500 PUT,65.0,2026-08-25,29500.0,PE
38063,OPTIDX,NIFTY,NIFTY-Sep2026-29500-CE,NIFTY 29 SEP 29500 CALL,65.0,2026-09-29,29500.0,CE
38068,OPTIDX,NIFTY,NIFTY-Sep2026-29500-PE,NIFTY 29 SEP 29500 PUT,65.0,2026-09-29,29500.0,PE
38158,OPTIDX,NIFTY,NIFTY-Dec2026-29000-CE,NIFTY 29 DEC 29000 CALL,65.0,2026-12-29,29000.0,CE
38159,OPTIDX,NIFTY,NIFTY-Dec2026-29000-PE,NIFTY 29 DEC 29000 PUT,65.0,2026-12-29,29000.0,PE
38709,OPTIDX,NIFTY,NIFTY-Sep2026-49500-CE,NIFTY 29 SEP 49500 CALL,65.0,2026-09-29,49500.0,CE
38710,OPTIDX,NIFTY,NIFTY-Sep2026-49500-PE,NIFTY 29 SEP 49500 PUT,65.0,2026-09-29,49500.0,PE
39630,OPTIDX,NIFTY,NIFTY-Dec2026-9000-CE,NIFTY 29 DEC 9000 CALL,65.0,2026-12-29,9000.0,CE
39631,OPTIDX,NIFTY,NIFTY-Dec2026-9000-PE,NIFTY 29 DEC 9000 PUT,65.0,2026-12-29,9000.0,PE
39632,OPTIDX,NIFTY,NIFTY-Jun2027-9000-CE,NIFTY 29 JUN 9000 CALL,65.0,2027-06-29,9000.0,CE
39633,OPTIDX,NIFTY,NIFTY-Jun2027-9000-PE,NIFTY 29 JUN 9000 PUT,65.0,2027-06-29,9000.0,PE
39634,OPTIDX,NIFTY,NIFTY-Dec2027-9000-CE,NIFTY 28 DEC 9000 CALL,65.0,2027-12-28,9000.0,CE
39635,OPTIDX,NIFTY,NIFTY-Dec2027-9000-PE,NIFTY 28 DEC 9000 PUT,65.0,2027-12-28,9000.0,PE
39636,OPTIDX,NIFTY,NIFTY-Jun2028-9000-CE,NIFTY 27 JUN 9000 CALL,65.0,2028-06-27,9000.0,CE
39637,OPTIDX,NIFTY,NIFTY-Jun2028-9000-PE,NIFTY 27 JUN 9000 PUT,65.0,2028-06-27,9000.0,PE
